title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Missing sights: consequences for visual cognitive development,https://www.sciencedirect.com/science/article/pii/S1364661305000252,Cited by 140,"https://scholar.google.com/scholar?q=related:Pz7Rdaw0ADwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",11,All 20 versions,"D Maurer, TL Lewis, CJ Mondloch - Trends in cognitive sciences, 2005 - Elsevier","… To what extent, and under what circumstances, do the lessons derived from cataract-reversal
and congenital blindness apply to other sensory modalities (such as deaf children who receive
cochlear … Can prostheses be developed to restore vision to the congenitally blind … 
"
Revisiting the adaptive and maladaptive effects of crossmodal plasticity,https://www.sciencedirect.com/science/article/pii/S0306452214006435,Cited by 59,"https://scholar.google.com/scholar?q=related:b4ABkBpi-P8J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",12,All 9 versions,"B Heimler, N Weisz, O Collignon - Neuroscience, 2014 - Elsevier",
Sensory substitution and the human–machine interface,https://www.sciencedirect.com/science/article/pii/S1364661303002900,Cited by 862,"https://scholar.google.com/scholar?q=related:IsvKz_XwznUJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",13,All 16 versions,"P Bach-y-Rita, SW Kercel - Trends in cognitive sciences, 2003 - Elsevier","… Substitutive sensory devices for blindness rehabilitation through audition have been studied
by DeVolder et … of interpretation, such as perspective, parallax, looming and zooming, and depth
estimates [7 … Another recent study of blind subjects who had six hours of training in letter … 
"
The brain as a flexible task machine: implications for visual rehabilitation using noninvasive vs. invasive approaches,https://journals.lww.com/co-neurology/fulltext/2012/02000/The_brain_as_a_flexible_task_machine__.14.aspx,Cited by 76,"https://scholar.google.com/scholar?q=related:Bj9hMSp_NP4J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",14,All 11 versions,"L Reich, S Maidenbaum, A Amedi - Current opinion in neurology, 2012 - journals.lww.com","Purpose of review The exciting view of our brain as highly
flexible task-based and not sensory-bas.
"
Sight restoration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3438651/,Cited by 20,"https://scholar.google.com/scholar?q=related:QEM8INLFbA8J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",15,All 11 versions,"P Sinha, R Held - F1000 Medicine Reports, 2012 - ncbi.nlm.nih.gov","… Bouvrie JV, Sinha P. Visual object concept discovery: Observations in congenitally blind children,
and a computational approach … Ostrovsky Y, Andalman A, Sinha P. Vision following extended
congenital blindness … Burton H. Visual cortex activity in early and late blind people … 
"
Emergence of categorical face perception after extended early-onset blindness,https://www.pnas.org/content/114/23/6139.short,Cited by 13,"https://scholar.google.com/scholar?q=related:v7LIFL6l73YJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",16,All 10 versions,"TK Gandhi, AK Singh, P Swami… - Proceedings of the …, 2017 - National Acad Sciences","Skip to main content. Submit; About: Editorial Board; PNAS Staff; FAQ; Rights and Permissions;
Site Map. Contact; Journal Club; Subscribe: Subscription Rates; Subscriptions FAQ; Open Access;
Recommend PNAS to Your Librarian. Log in; Log out; My Cart. Main menu … 
"
Are critical periods reversible in the adult brain? Insights on cortical specializations based on sensory deprivation studies,https://www.sciencedirect.com/science/article/pii/S0149763420304619,Cited by 1,,17,All 5 versions,"B Heimler, A Amedi - Neuroscience & Biobehavioral Reviews, 2020 - Elsevier",
Sensory rehabilitation in the plastic brain,https://www.sciencedirect.com/science/article/pii/B9780444537522000035,Cited by 53,"https://scholar.google.com/scholar?q=related:L1wywoErVwMJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",18,All 14 versions,"O Collignon, F Champoux, P Voss, F Lepore - Progress in brain research, 2011 - Elsevier","… blindness. deafness. neuroplasticity. rehabilitation. sensory substitution. neuroprosthesis …
observation that “visual” regions can be recruited for nonvisual processing in blind subjects
(Sadato … and that auditory regions can be recruited by nonauditory inputs in deaf subjects (Bavelier … 
"
Plasticity of the dorsal “spatial” stream in visually deprived individuals,https://www.hindawi.com/journals/np/2012/687659/abs/,Cited by 39,"https://scholar.google.com/scholar?q=related:CqXMUcuEg9cJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",19,All 19 versions,"G Dormal, F Lepore, O Collignon - Neural plasticity, 2012 - hindawi.com","… (b) Global motion coherence thresholds for each subject in the bilateral congenital and bilateral …
in red on a normalized template (left is left) and identified by means of a visual motion localizer
in sighted participants) for sighted, congenitally blind, and late blind participants … 
"
A sensitive period for language in the visual cortex: distinct patterns of plasticity in congenitally versus late blind adults,https://www.sciencedirect.com/science/article/pii/S0093934X11001799,Cited by 82,"https://scholar.google.com/scholar?q=related:krl5IdkWfacJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",20,All 20 versions,"M Bedny, A Pascual-Leone, S Dravida, R Saxe - Brain and language, 2012 - Elsevier","… Retrolental Fibroplasia (RLF), years (y), education (Ed), Masters Degree (MA), Bachelors Degree
(BA), Congenitally Blind (CB), Late … ID, Gender, Age (y), Age totally blind (y), Cause of blindness,
Residual LP, Highest level … CB7, M, 44, Birth, Congenital Rubella Syndrome, No, BA … 
"
